,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,Latitude,Longitude,geometry,BuildingAge
394,548,2015,nonresidential,small- and mid-sized office,2,GREATER DUWAMISH,1.0,1.0,53250,0,53250,office,52759.0,parking,0.0,No information,0.0,92.0,2196718.0,0.0,1125340.0,1071424.0,55.84,47.54966924,-122.3276807,POINT (-122.3276807 47.54966924),51
395,549,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,6.0,78672,28427,50245,No information,0.0,No information,0.0,No information,0.0,95.0,2713722.0,0.0,2194927.0,518886.0,35.745,47.62483876,-122.3485262,POINT (-122.3485262 47.62483876),28
396,550_2015,2015,nonresidential,non-refrigerated warehouse,5,NORTHWEST,1.0,3.0,64660,0,64660,non-refrigerated warehouse,64660.0,No information,0.0,No information,0.0,88.0,340270.0,0.0,248981.0,91300.0,6.58,47.71285067,-122.3442059,POINT (-122.3442059 47.71285067),29
398,552,2015,nonresidential,distribution center,2,GREATER DUWAMISH,1.0,1.0,161678,0,161678,distribution center,174227.0,No information,0.0,No information,0.0,27.0,9245102.0,0.0,6430979.0,2814388.0,199.555,47.57009819,-122.333388,POINT (-122.333388 47.57009819),47
399,553,2015,nonresidential,distribution center,2,GREATER DUWAMISH,1.0,1.0,101101,0,101101,distribution center,101101.0,No information,0.0,No information,0.0,1.0,23612824.0,0.0,23573999.0,39804.0,159.57999999999998,47.56875906,-122.33309,POINT (-122.33309 47.56875906),66
400,554,2015,nonresidential,distribution center,2,GREATER DUWAMISH,1.0,1.0,52613,0,52613,distribution center,52613.0,No information,0.0,No information,0.0,77.0,992738.0,0.0,513849.0,478910.0,30.520000000000003,47.57021636,-122.332386,POINT (-122.332386 47.57021636),35
403,557_2015,2015,nonresidential,supermarket/grocery store,5,NORTHWEST,1.0,1.0,48117,7450,40667,supermarket/grocery store,51722.0,parking,0.0,No information,0.0,48.0,13924967.0,0.0,7850393.0,6074900.0,377.36,47.69270472,-122.3550623,POINT (-122.3550623 47.69270472),12
404,558_2015,2015,nonresidential,supermarket/grocery store,5,NORTH,1.0,1.0,58480,0,58480,supermarket/grocery store,44431.0,No information,0.0,No information,0.0,39.0,11639369.0,0.0,6285540.0,5354091.0,328.17,47.73314624,-122.3105194,POINT (-122.3105194 47.73314624),35
405,559,2015,nonresidential,large office,7,LAKE UNION,1.0,4.0,186971,0,186971,office,186977.0,parking,115477.0,No information,0.0,86.0,12662456.0,0.0,9657951.0,3004906.0,226.92,47.6212428,-122.3297865,POINT (-122.3297865 47.6212428),34
406,560,2015,nonresidential,non-refrigerated warehouse,7,LAKE UNION,1.0,1.0,66968,0,66968,No information,0.0,No information,0.0,No information,0.0,1.0,1575581.0,0.0,1573323.0,2323.0,11.09,47.62145274,-122.3311285,POINT (-122.3311285 47.62145274),60
407,561,2015,nonresidential,large office,7,LAKE UNION,1.0,6.0,336700,124800,211900,office,193420.0,parking,124620.0,retail store,6180.0,94.0,9697866.0,0.0,9698269.0,0.0,61.265,47.61985503,-122.33048111,POINT (-122.33048111 47.61985503),10
408,562_2015,2015,nonresidential,retail store,7,LAKE UNION,1.0,4.0,270723,159994,110729,retail store,98863.0,No information,0.0,No information,0.0,40.0,10020111.0,0.0,7537824.0,2482600.0,184.4,47.62035862,-122.3297037,POINT (-122.3297037 47.62035862),19
409,563,2015,nonresidential,small- and mid-sized office,3,CENTRAL,1.0,2.0,62220,0,62220,office,60676.0,parking,13780.0,other - services,1324.0,33.0,5375518.0,0.0,5362730.0,13009.0,38.315,47.59283131,-122.3087491,POINT (-122.3087491 47.59283131),101
410,564,2015,nonresidential,small- and mid-sized office,3,GREATER DUWAMISH,1.0,1.0,65430,0,65430,office,60732.0,other,8142.0,No information,0.0,92.0,2855545.0,0.0,1625316.0,1230296.0,83.455,47.59364401,-122.3109277,POINT (-122.3109277 47.59364401),45
411,565,2015,nonresidential,large office,4,NORTHEAST,1.0,3.0,102290,42440,59850,office,83715.0,parking,18575.0,No information,0.0,28.0,5917000.0,0.0,5775674.0,141566.0,48.475,47.66514721,-122.3018094,POINT (-122.3018094 47.66514721),9
413,568_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,2.0,323916,0,323916,non-refrigerated warehouse,263528.0,office,60388.0,No information,0.0,81.0,11289052.0,0.0,5086203.0,6203058.0,364.9,47.56415346,-122.3275518,POINT (-122.3275518 47.56415346),24
414,569_2015,2015,nonresidential,large office,2,GREATER DUWAMISH,1.0,14.0,304052,0,304052,office,230140.0,parking,156487.0,medical office,72830.0,86.0,15843743.0,0.0,14232265.0,1612071.0,184.83,47.59282532,-122.3168305,POINT (-122.3168305 47.59282532),83
415,570,2015,nonresidential,small- and mid-sized office,4,LAKE UNION,1.0,4.0,85385,31210,54175,office,50235.0,parking,25525.0,data center,2875.0,77.0,4904803.0,0.0,4905005.0,0.0,34.019999999999996,47.64039142,-122.326242,POINT (-122.326242 47.64039142),37
416,571,2015,nonresidential,distribution center,1,GREATER DUWAMISH,1.0,2.0,98024,0,98024,distribution center,63896.0,office,33712.0,No information,0.0,77.0,3228330.0,0.0,2178171.0,1050250.0,56.605,47.53692799,-122.3326807,POINT (-122.3326807 47.53692799),26
418,573,2015,nonresidential,large office,7,LAKE UNION,1.0,5.0,144573,66620,77953,office,78521.0,parking,66650.0,No information,0.0,56.0,5424718.0,0.0,5424944.0,0.0,36.81,47.62492806,-122.3297812,POINT (-122.3297812 47.62492806),25
